Carte;Vannes/Etat;Etat initial;Valeur;Dépendance vannes ;Timer dépendance
OBC;EG;;;;
CACMO;VCE;;;;
CACMO;VBCE;;;;
CACMO;VCO;;;;
CACMO;VBCO;;;;
CACMO;;;;;
CACMO;;;;;
CACMO;;;;;
CACMO;;;;;
CACMO;;;;;
CACMO;;;;;
CACMO;;;;;
CACMO;;;;;
CACOE;VPrO;;;;
CACOE;VMAO;;;;
CACOE;;;;;
CACOE;;;;;
CACOE;;;;;
CACOE;;;;;
CACOE;;;;;
CACOE;;;;;
CACOE;;;;;
CACOE;;;;;
CACOE;;;;;
CACOE;;;;;
CACEHP;VMAPr;;;;
CACEHP;VMAE;;;;
CACEHP;VPrG;;;;
CACEHP;VPrE;;;;
CACEHP;;;;;
CACEHP;;;;;
CACEHP;;;;;
CACEHP;;;;;
CACEHP;;;;;
CACEHP;;;;;
CACEHP;;;;;
CACEHP;;;;;
