index;Carte;Capteur/Vannes/Etat;Valeur
1;OBCMN;EG;
2;CACMO;EC-CACMO;
3;CACMO;VCE;
4;CACMO;VBCE;
5;CACMO;VCO;
6;CACMO;VBCO;
7;;;
8;;;
9;;;
10;;;
11;;;
12;;;
13;;;
14;;;
15;CACMO;MEP-TP01;
16;CACMO;MEP-PR01;
17;CACMO;MEP-PR02;
18;CACMO;MEP-PR03;
19;CACMO;MEP-PR04;
20;;;
21;;;
22;;;
23;;;
24;;;
25;;;
26;;;
27;CACOE;EC-CACOE;
28;CACOE;VPrO;
29;CACOE;VMAO;
30;;;
31;;;
32;;;
33;;;
34;;;
35;;;
36;;;
37;;;
38;;;
39;;;
40;CACOE;MEP-TP02;
41;CACOE;MEP-TP03;
42;CACOE;MEP-PR05;
43;CACOE;MEP-PR06;
44;CACOE;MEP-PR07;
45;;;
46;;;
47;;;
48;;;
49;;;
50;;;
51;;;
52;CACEHP;EC-CACEHP;
53;CACEHP;VMAPr;
54;CACEHP;VMAE;
55;CACEHP;VPrG;
56;CACEHP;VPrE;
57;;;
58;;;
59;;;
60;;;
61;;;
62;;;
63;;;
64;;;
65;CACEHP;MEP-TP04;
66;CACEHP;MEP-TP05;
67;CACEHP;MEP-PR08;
68;CACEHP;MEP-PR09;
69;CACEHP;MEP-PR010;
70;;;
71;;;
72;;;
73;;;
74;;;
75;;;
76;;;
77;;;
78;;;
79;;;
80;;;
81;;;
82;;;
83;;;
84;;;
85;;;
86;;;
87;;;
88;;;
89;;;
90;;;
91;;;
92;;;
93;;;
94;;;
95;;;
96;;;
97;;;
98;;;
99;;;
100;;;
101;;;
112;;;
113;;;
114;;;
115;;;
116;;;
117;;;
118;;;
