Carte;Vannes/Etat;Valeur;Timer dépendance;Dépendance vannes;
OBC;EG;1;#;#;#
CACMO;VCE;0;1.4;2|3;#
CACMO;VBCE;0;#;#;#
CACMO;VCO;1;#;#;#
CACMO;VBCO;0;#;#;#
CACMO;#;#;#;#;#
CACMO;#;#;#;#;#
CACMO;#;#;#;#;#
CACMO;#;#;#;#;#
CACMO;#;#;#;#;#
CACMO;#;#;#;#;#
CACMO;#;#;#;#;#
CACMO;#;#;#;#;#
CACOE;VPrO;0;#;#;#
CACOE;VMAO;1;#;#;#
CACOE;;1;#;#;#
CACOE;;0;#;#;#
CACOE;;#;#;#;#
CACOE;;#;#;#;#
CACOE;;#;#;#;#
CACOE;;#;#;#;#
CACOE;;#;#;#;#
CACOE;;#;#;#;#
CACOE;;#;#;#;#
CACOE;;#;#;#;#
CACEHP;VMAPr;1;#;#;#
CACEHP;VMAE;0;#;#;#
CACEHP;VPrG;0;#;#;#
CACEHP;VPrE;1;#;#;#
CACEHP;;#;#;#;#
CACEHP;;#;#;#;#
CACEHP;;#;#;#;#
CACEHP;;#;#;#;#
CACEHP;;#;#;#;#
CACEHP;;#;#;#;#
CACEHP;;#;#;#;#
CACEHP;;#;#;#;#
