Carte;Vannes/Etat;Valeur;Timer dépendance;Dépendance vannes
OBC;EG;3;#;#
CACMO;VCE;0;#;#
CACMO;VBCE;0;#;#
CACMO;VCO;1;2;1|2|4
CACMO;VBCO;0;#;#
CACMO;#;#;#;#
CACMO;#;#;#;#
CACMO;#;#;#;#
CACMO;#;#;#;#
CACMO;#;#;#;#
CACMO;#;#;#;#
CACMO;#;#;#;#
CACMO;#;#;#;#
OFFSET;EG;#;#;#
CACOE;VPrO;1;2;15
CACOE;VMAO;0;#;#
CACOE;;#;#;#
CACOE;;#;#;#
CACOE;;#;#;#
CACOE;;#;#;#
CACOE;;#;#;#
CACOE;;#;#;#
CACOE;;#;#;#
CACOE;;#;#;#
CACOE;;#;#;#
CACOE;;#;#;#
OFFSET;EG;#;#;#
CACEHP;VMAPr;0;#;#
CACEHP;VMAE;0;#;#
CACEHP;VPrG;1;2;27
CACEHP;VPrE;0;#;#
CACEHP;;#;#;#
CACEHP;;#;#;#
CACEHP;;#;#;#
CACEHP;;#;#;#
CACEHP;;#;#;#
CACEHP;;#;#;#
CACEHP;;#;#;#
CACEHP;;#;#;#
